name,real_name,country,seller_type,sales_count,available_items,rating,approval_very_good,approval_good,approval_neutral,approval_bad,shipping_days,street_address,postal_code,city
ledouble6,SARL DOUBLE6,France,Professional,31860,206838,Outstanding,100 %,0 %,0 %,0 %,,110 Rue De Geôle,14000,CAEN
leeya,Gamestore Steiner GmbH,Austria,Powerseller,70338,547444,Outstanding,99.1 %,0.5 %,0.1 %,0.3 %,20,Friedrichstraße 2,4040,Linz
LegacyLHDJ,Legacy : L'Héritage Du Jeu,France,Professional,1999,15623,Outstanding,99.2 %,0.8 %,0 %,0 %,12,20 Rue Marc Seguin,22950,Trégueux
Legacytcg,Legacy srl,Italy,Powerseller,49528,1355224,Outstanding,99.3 %,0.7 %,0 %,0 %,16,III Traversa Pisciarelli 33,80078,Pozzuoli (Napoli)
LeGeekdenosCampagnes,Le Geek de nos Campagnes,France,Professional,98,1366,Outstanding,100 %,0 %,0 %,0 %,11,5 rue du Chouquet,27490,Clef Vallée d'Eure
LegendaryCardCo,Universal Collectibles Ltd,United Kingdom,Professional,2202,56421,Outstanding,100 %,0 %,0 %,0 %,13,6 Birch Road,BB12 0FA,Burnley
LegendofMagic,Legend of Magic,Switzerland,Professional,17085,464836,Outstanding,100 %,0 %,0 %,0 %,9,"Drillweg, 3",5036,Oberentfelden
LeGraalLudik,Le Graal Ludik',France,Professional,881,3829,Outstanding,99 %,1 %,0 %,0 %,12,4 Faubourg Sainte-Anne,44350,Guérande
LeLudozaure,Le Ludozaure,France,Professional,40,137,Outstanding,100 %,0 %,0 %,0 %,11,26 Rue du Belzic,56400,AURAY
LEMPORIO,L'Emporio dell'Avventuriero,Italy,Professional,138,2757,Outstanding,100 %,0 %,0 %,0 %,14,Viale Xx Settembre 14a/b/c,44012,Bondeno
LeRoyaumeduJoueur,Le Royaume Du Joueur,France,Powerseller,5352,6146,Outstanding,98 %,1 %,1 %,0 %,12,37 Rue Georges Camus,62123,Berles Au Bois
Les3Commandements,Les Trois Commandements,France,Powerseller,160,21316,Outstanding,100 %,0 %,0 %,0 %,16,24 Chaussée Bocquaine,51100,Reims
Lescale-Ybur,respawn and clock,France,Professional,3620,26895,Outstanding,100 %,0 %,0 %,0 %,18,29 Rue Du Général Leclerc,22400,Lamballe
lescontreesdujeu,LES CONTREES DU JEU,France,Professional,5089,13873,Outstanding,100 %,0 %,0 %,0 %,12,BEYLE STENDHAL 6,38000,GRENOBLE
Lesjeuxdemerlin,Les jeux de Merlin,France,Professional,4964,512,Outstanding,97.8 %,0.9 %,1.3 %,0 %,13,80 rue general moulin,14000,Caen
lespatioport,Le Spatioport,France,Professional,4291,3543,Outstanding,100 %,0 %,0 %,0 %,14,3 - 5 rue Grenette,42600,Montbrison
LestrangeMarket,Lestrange Inc,France,Professional,948,1923,Outstanding,100 %,0 %,0 %,0 %,15,4 Place De La Halle,38300,Bourgoin-Jallieu
LeTemple,François-Xavier Franchi,France,Professional,470,11,Outstanding,100 %,0 %,0 %,0 %,11,5BIS Avenue Du General De Gaulle,34140,Mèze
LevelUp-Wehavefun,Level Up,Italy,Powerseller,11881,207717,Outstanding,99 %,0.7 %,0.3 %,0 %,16,"Via Papa Giovanni Paolo II, 82/86",66100,Chieti
LeVizz,SARL LE VIZZ,France,Powerseller,10467,18291,Outstanding,99.7 %,0.3 %,0 %,0 %,16,Rue Des Bons Enfants 7,76000,Rouen
Levodin,Levodin,Spain,Professional,42520,106738,Outstanding,99.7 %,0.3 %,0 %,0 %,9,Avenida Francesc Macia 55 3º2º,08921,Santa Coloma de Gramenet
LewaCards,LewaCards,Germany,Professional,5013,39451,Outstanding,100 %,0 %,0 %,0 %,,Zander'sche Koppel 4,25566,Lägerdorf
lgdja46,La Guilde des Joueurs,France,Professional,2115,1125,Outstanding,100 %,0 %,0 %,0 %,12,46 Rue Du Mail,49100,Angers
LGRMasterC,Benjamin Chambaud,France,Powerseller,9435,108737,Outstanding,100 %,0 %,0 %,0 %,16,1250 Chemin De Cantoperdric,31600,Eaunes
Library-Of-Cards,Lorenzo Ruiz Vidal,Spain,Professional,7889,2721,Outstanding,100 %,0 %,0 %,0 %,10,Ponferrada 9,30310,Cartagena
Lichcards,Lichcards,Netherlands,Professional,3323,51251,Outstanding,100 %,0 %,0 %,0 %,13,De Trompet 18C,1601MK,Enkhuizen
LightspeedCards,Ben Titmarsh,United Kingdom,Professional,8086,73885,Outstanding,99.5 %,0.5 %,0 %,0 %,12,35 CHURCH HILL,N21 1LN,London
Limited-Edition,Limited Edition,United Kingdom,Professional,1771,1776,Outstanding,100 %,0 %,0 %,0 %,15,19 Gordon Road,CF24 3AJ,Cardiff
LimitedCardboard,Limited Cardboard,Spain,Professional,757,435,Outstanding,100 %,0 %,0 %,0 %,7,Bailen Nº 10,08800,Vilanova I La Geltru
lironjuegos,El Lirón,Spain,Professional,0,26,,,,,,0,"C. Venecia 6, Local 3",41089,Dos Hermanas
littleBigNerds,little BIG Nerds,Germany,Powerseller,24498,284847,Outstanding,100 %,0 %,0 %,0 %,11,Tiestestr. 46,30173,Hannover
LivingRealms,LR Cards & Collectables Ltd.,United Kingdom,Professional,10435,184,Outstanding,99.2 %,0.8 %,0 %,0 %,14,Sagar Street,WF10 1AG,Castleford
LLOJToys,Lloj Toys,Germany,Professional,76,6102,Outstanding,100 %,0 %,0 %,0 %,11,Dülmener Weg 107,46325,Borken
LMCollectables,LMCollectables,United Kingdom,Professional,5269,10288,Outstanding,99.7 %,0.3 %,0 %,0 %,14,10 Larch Road,S66 8AZ,Maltby
LMGMOUTON,Anthony Cheneau,France,Professional,625,760,Outstanding,100 %,0 %,0 %,0 %,11,60 rue François 1er,75008,paris
LobizonHobbyStore,Lobizón Hobby Store,Spain,Professional,10,1629,Good,100 %,0 %,0 %,0 %,7,Carrer De Joan Goula 21,17220,Sant Feliu De Guixols
LocalProCards,Local Pro Cards,Greece,Professional,18500,172848,Outstanding,100 %,0 %,0 %,0 %,12,Kifisia Solomou Solomou 4,54248,Thessaloniki
LodgeGroupSingles,Lodge Group Singles,United Kingdom,Professional,9147,91119,Outstanding,98.8 %,0.8 %,0.3 %,0.1 %,14,61A Kempston Street,L3 8HE,Liverpool
loki44,Calanda Magic,Switzerland,Professional,1757,4311,Outstanding,100 %,0 %,0 %,0 %,9,Foralweg 1,7000,Chur
lolimpodelnerd,L'OLIMPO DEL NERD,Italy,Professional,271,1873,Outstanding,100 %,0 %,0 %,0 %,18,Via Vincenzo Ferretti 119,01033,Civita Castellana
LondonMagicTraders,London Magic Traders LTD,United Kingdom,Professional,4851,4673,Outstanding,100 %,0 %,0 %,0 %,12,Unit 5-7 Marshwood Close,CT1 1DX,Canterbury
LootDropGames,Stephen Noel O'Connor,Austria,Professional,3311,27736,Outstanding,100 %,0 %,0 %,0 %,17,Schottenfeldgasse 2-4,1070,Wien
Lootdrop,Loot Drop,United Kingdom,Professional,1733,168,Outstanding,100 %,0 %,0 %,0 %,12,Loot Drop 28A High Street,CB9 8AR,Haverhill
LootForgottenTrove,Loot of the forgotten Trove,Germany,Professional,1149,1611,Outstanding,100 %,0 %,0 %,0 %,11,Hopfenweg 1,26125,Oldenburg
Lord-Of-Toy,Lord-Of-Toy,France,Professional,1836,3299,Outstanding,99.5 %,0.5 %,0 %,0 %,12,17 Rue Moliere Moliere,52100,Saint-Dizier
LordSoth82,BorghiniMaurizio,Italy,Professional,1631,4070,Outstanding,100 %,0 %,0 %,0 %,18,"Via Colonnata, 39",54033,Carrara (Ms)
Lorecards11,Lorecards,Germany,Professional,1113,12,Outstanding,100 %,0 %,0 %,0 %,16,Langendorferstraße 150,56564,Neuwied
Lori-Elisa,Willi Trading,Switzerland,Professional,1094,4223,Outstanding,100 %,0 %,0 %,0 %,4,Sportweg 12,3097,Liebefeld
Lorichalque,EURL L'Orichalque,France,Powerseller,200,85,Outstanding,100 %,0 %,0 %,0 %,11,284 Grande Rue,27310,Bourg Achard
LostPharaoh,LOSTPHARAOH CARDS LTD,United Kingdom,Professional,2334,328,Outstanding,100 %,0 %,0 %,0 %,11,"3rd Floor, 86-90 Paul Street",EC2A 4NE,London
Lostwoodshop,Lost wood s.a.s. di Erika Schillaci & C.,Italy,Professional,17284,97789,Outstanding,100 %,0 %,0 %,0 %,21,Via Camillo Randazzo 21-23,90141,Palermo
LotusCards,Lotus Cards,Germany,Professional,12109,8959,Outstanding,100 %,0 %,0 %,0 %,19,Schützenstr 5,72401,Owingen
LotusGamesUK,SD Trading Cards LTD,United Kingdom,Professional,23248,12499,Outstanding,100 %,0 %,0 %,0 %,20,18 lavender road,GU34 1WF,alton
LotusLoot,Dominik Cebulla,Germany,Professional,601,3743,Outstanding,100 %,0 %,0 %,0 %,13,Grünberger Weg 2,74189,Weinsberg
LotusVale-Bochum,LotusVale,Germany,Professional,24827,258309,Outstanding,100 %,0 %,0 %,0 %,13,Grabenstraße 6,44787,Bochum
LotusValley,Lotus Valley,Portugal,Powerseller,11522,59419,Outstanding,100 %,0 %,0 %,0 %,12,Rua Cândido dos Reis N122 RC,2630-233,Arruda dos Vinhos
loveoldskool,John Nicholls,United Kingdom,Professional,4599,83224,Outstanding,100 %,0 %,0 %,0 %,14,Hudson Drive 1,NN4 9XD,Northampton
LP-CardGames,L&P CardGames GbR,Germany,Professional,292,184,Outstanding,100 %,0 %,0 %,0 %,13,Mainaustraße 145,78464,Konstanz
LsLBurst,LsL,France,Professional,3379,6375,Outstanding,100 %,0 %,0 %,0 %,9,3 Rue Du Forez,91940,Les Ulis
LuCards98,Lucas Jarczok,Germany,Professional,11758,3641,Outstanding,100 %,0 %,0 %,0 %,19,Hofen 8,86971,Peiting
LuckboxCardshop,LuckboxCardShop,Denmark,Professional,1511,9025,Outstanding,100 %,0 %,0 %,0 %,15,skolegade 21,4534,Hørve
LUCKYSE7EN,LUCKY SEVEN J.D.O.O.,Croatia,Professional,10608,14687,Outstanding,98.4 %,1.2 %,0.4 %,0 %,23,Vinogradska Cesta 94A,10000,Zagreb
Lud52,Legrand Ludwig,France,Professional,2844,110062,Outstanding,100 %,0 %,0 %,0 %,11,8 Rue Derrière Les Murs,52210,Aubepierre Sur Aube
ludicity,LUDICITY,France,Professional,525,148,Outstanding,100 %,0 %,0 %,0 %,11,1 Rue Du Marché,14310,VILLERS BOCAGE
Ludik,"Traquinódromo, Lda",Portugal,Professional,187,300,Outstanding,100 %,0 %,0 %,0 %,11,Rua Da República 2,3050-428,Pampilhosa
Ludisfactory,Sébastien Lenoir,France,Professional,3849,424,Outstanding,100 %,0 %,0 %,0 %,9,39 Rue du fil,56300,PONTIVY
ludivers,Ludivers,France,Professional,62,20,Outstanding,100 %,0 %,0 %,0 %,12,10 Parc De L'équerre,28630,Gellainville
Ludovergne63,Ludo'vergne,France,Professional,35,265,Good,100 %,0 %,0 %,0 %,12,31 Rue Du Château,63600,AMBERT
LudusBelli,LudusBelli,Spain,Professional,375,246,Outstanding,100 %,0 %,0 %,0 %,9,Zaragoza 14,28934,Mostoles
lukey52,Luke Dalnodar,United Kingdom,Professional,16114,5269,Outstanding,100 %,0 %,0 %,0 %,,15 Winifred Road,TW12 1AL,Hampton Hill
Lukman29,Luka Trogrlic,Germany,Professional,24171,22860,Outstanding,98.2 %,0.8 %,0.7 %,0.3 %,19,Waldenbucherstraße 25,71101,Schönaich
Lummerland-gaming,Lummerland_Gaming,Germany,Powerseller,1406,4516,Very good,95 %,2 %,2 %,1 %,28,Jungfernweg 30,82467,Garmisch Partenkirchen
Lusicards,Micro entreprise,France,Professional,2197,9015,Outstanding,100 %,0 %,0 %,0 %,11,15 A Lieu Dit La Montée,01320,Chalamont
luuk72341,Luis Dürr,Germany,Professional,6881,5518,Outstanding,100 %,0 %,0 %,0 %,11,Wohnpark am Brand 78,08223,Falkenstein
LvlUpGamingUK,Lvl Up Gaming LTD,United Kingdom,Professional,8838,157352,Outstanding,99.2 %,0.4 %,0.4 %,0 %,12,266 Charminster Road,BH8 9RT,Bournemouth
Mad-moxgames,Mad-Mox games,Spain,Professional,2381,9894,Outstanding,100 %,0 %,0 %,0 %,7,"C/ Felix Candela, 69",28055,Madrid
MADAKIBA,MADAKIBA,Spain,Professional,4771,12393,Outstanding,99.4 %,0.6 %,0 %,0 %,8,"Calle Afrodita, Nº 5, Local 7",28341,VALDEMORO
Maddon,Maddons Kartenhort,Germany,Powerseller,4873,4860,Outstanding,100 %,0 %,0 %,0 %,11,Veilchenweg 4,76669,Bad Schönborn
MaelstromCG,Entreprise Individuelle,France,Professional,3658,7936,Outstanding,97.9 %,0.7 %,1.4 %,0 %,14,5 Place De La Brousse,16110,Agris
Maezegem,De Spellenwinkel.be,Belgium,Powerseller,831,1719,Outstanding,100 %,0 %,0 %,0 %,13,De Robianostraat 134/1,2150,Borsbeek
MagaMercatino,MagaMercatino di Mauro Vasile,Italy,Professional,7792,98442,Outstanding,100 %,0 %,0 %,0 %,18,Via P. Borsellino 154,22040,Alzate Brianza (Como)
Magestore,Mage Store,Germany,Professional,2412,1370,Outstanding,98 %,2 %,0 %,0 %,16,Graf-Adolf Straße 41,40210,Düsseldorf
Magia-TCG,La Guilde Magia,France,Professional,196,470,Outstanding,100 %,0 %,0 %,0 %,12,15 rue du Château,76190,YVETOT
Magic-Gathered,Magic Gathered Ltd,United Kingdom,Professional,6308,19485,Outstanding,100 %,0 %,0 %,0 %,14,Greenford,UB6 0HR,Middlesex
Magic-Industria-61,Pasqual Rius Farras,Spain,Powerseller,23226,600080,Outstanding,100 %,0 %,0 %,0 %,8,"Calle Industria, 61, local",08025,Barcelona
Magic-Island,Daniel Antoniou,Cyprus,Professional,12291,161191,Outstanding,99.4 %,0.6 %,0 %,0 %,20,"Ermou 27,",6023,Larnaca
magic-josh,Joshua Peter Werner,Germany,Professional,2295,17325,Outstanding,100 %,0 %,0 %,0 %,8,Hermülheimerstr.50,50969,Köln
Magic-Kontor,Matthias Reiner,Germany,Professional,13192,23558,Outstanding,100 %,0 %,0 %,0 %,27,Oberes Eichertstal 28,74924,Neckarbischofsheim
MAGIC-LIUK,MAGIC LIUK,Italy,Professional,12267,438856,Outstanding,100 %,0 %,0 %,0 %,14,Via Bartolo Rossi 62/B,47121,Forlì
Magic-Mansion,Magic Mansion,Germany,Professional,2976,3732,Outstanding,99 %,0 %,1 %,0 %,,Bahnhofstraße 10,38442,Wolfsburg
magic-market,Magic Market,Germany,Professional,30321,181709,Outstanding,100 %,0 %,0 %,0 %,,Virchowring 73,24558,Henstedt-Ulzburg
Magic-Style,Etienne VILLANI,France,Professional,1991,2796,Outstanding,100 %,0 %,0 %,0 %,14,3 Boulevard Christian Jullien,91280,Saint-Pierre-du-Perray
Magical-Hearing,Magical Hearing (Inh. Fabian Kick),Germany,Professional,3707,1657,Outstanding,100 %,0 %,0 %,0 %,16,Feuerbachstraße 38b,48291,Telgte
MagicArcadia,Magic Arcadia di Jacopo Gunelli,Italy,Powerseller,5165,26781,Outstanding,100 %,0 %,0 %,0 %,14,Via Somalia 37,47122,Forlì
MagicAtHome,Yohann Oueslati,France,Powerseller,28758,123607,Outstanding,100 %,0 %,0 %,0 %,11,73 RUE DE LA GRANDE ARMEE,68760,WILLER SUR THUR
MagicBarcelona,MAGIC THE GATHERING BARCELONA S.L.,Spain,Powerseller,228383,1278989,Outstanding,99.8 %,0.2 %,0 %,0 %,12,Ronda de Sant Pere 44,08010,Barcelona
Magicbear,Marcin Kołodziejczyk,Poland,Professional,8294,121008,Outstanding,100 %,0 %,0 %,0 %,16,Krzeczow 137,32-433,Lubien
MagicBougnat,MagicBougnat,France,Professional,10843,13479,Outstanding,100 %,0 %,0 %,0 %,14,39 rue de pontaret,63190,ravel
Magiccardshop,Ferdinand Kusch,Germany,Powerseller,151999,334934,Outstanding,99.5 %,0.5 %,0 %,0 %,21,Münchner Str. 18,85774,Unterföhring
MagicCorner04,Magic Corner,Germany,Professional,13754,8623,Outstanding,100 %,0 %,0 %,0 %,11,Friedensstr. 53 A,41517,Grevenbroich
MagicCornerVienna,Magic Corner,Austria,Professional,2956,6069,Outstanding,100 %,0 %,0 %,0 %,15,Newaldgasse 3/1,1090,Wien
MagicDraw,Paper Dealer,Slovenia,Professional,276,838,Outstanding,100 %,0 %,0 %,0 %,11,Albrehtova Ulica,1291,Škofljica
magicdreams,Arne Löw,Germany,Professional,1540,28844,Outstanding,100 %,0 %,0 %,0 %,11,Erholungsweg 60,13509,Berlin
MagicElendra,Magic Elendra,Spain,Professional,6404,60372,Outstanding,100 %,0 %,0 %,0 %,8,"Major, 60",08140,Caldes de Montbui
Magicevent,Magic Event Trading S.L.U.,Spain,Professional,14383,295032,Outstanding,99.5 %,0.4 %,0.1 %,0 %,11,C/ Assamblea de catalunya nº2 Bajos,43002,Tarragona
MagicGoblin,MagicGoblin,Austria,Professional,6338,149792,Outstanding,100 %,0 %,0 %,0 %,21,St. Nikolai 25,9074,Keutschach am See
Magichammerflorence,Magichammer di Calamandrei Leonardo,Italy,Powerseller,912,30987,Outstanding,98 %,2 %,0 %,0 %,21,Via Di Scandicci 95,50018,Scandicci
MagicHistory-PERUGIA,Magic History,Italy,Professional,21565,251059,Outstanding,99.7 %,0.3 %,0 %,0 %,21,Via Caduti Del Lavoro 52,06124,Perugia
MagicHunters,CARTOON CORPORATION S.L.U.,Spain,Professional,11561,104611,Outstanding,100 %,0 %,0 %,0 %,7,GUILLEM DE CASTRO 53 BJ IZDA,46007,VALENCIA
MagiciansCircleGO,Magician's Circle,Italy,Professional,5937,63066,Outstanding,99 %,1 %,0 %,0 %,16,Via Alessandro Manzoni 10,34077,Ronchi Dei Legionari (GO)
MagicKast,MagicKast.nl,Netherlands,Professional,26219,112492,Outstanding,99.8 %,0 %,0.2 %,0 %,13,Leeghwaterstraat 25,2811DT,Reeuwijk
magicksemporium,Magicks Emporium,United Kingdom,Professional,1084,12,Outstanding,100 %,0 %,0 %,0 %,10,6 Larch Road,S214ED,Sheffield
MagicLizard,Magic Lizard,Italy,Powerseller,24528,468442,Outstanding,99.3 %,0.7 %,0 %,0 %,21,"Via Alcide de Gasperi, 16/18",93100,Caltanissetta (CL)
MagicMallorca,Magic Mallorca,Spain,Professional,5697,14283,Outstanding,100 %,0 %,0 %,0 %,10,Carrer d'Eusebi Estada nº79,07004,Palma
MagicNice,Axel Julewitz,France,Professional,21313,11881,Outstanding,99.4 %,0.6 %,0 %,0 %,,"3, boulevard Lech Walesa",06300,Nice
MagicOmens,Magic Omens d.o.o,Croatia,Professional,3629,13328,Outstanding,100 %,0 %,0 %,0 %,16,Savska cesta 144A,10000,Zagreb
Magicomix,Fumetteria Magicomix,Italy,Professional,1399,3250,Outstanding,100 %,0 %,0 %,0 %,17,Viale Monsignor Fabio Maranta 6,81056,Sparanise
MagicoSphere,Magico Sphere,France,Professional,48053,348720,Outstanding,99.5 %,0.3 %,0.2 %,0 %,15,20 Rue Leonard Combes,13500,Martigues
MagicPangea,"MagicPangea, S.L.",Spain,Professional,4336,57614,Outstanding,100 %,0 %,0 %,0 %,9,"Padilla 41, 6A",28006,Madrid
MagicPapa,MagicPapa GmbH,Germany,Professional,12334,394930,Outstanding,100 %,0 %,0 %,0 %,11,Lochberg 16 (1.OG),83135,Schechen
MAGICPLANET,MagicPlanet di Michele Cantù,Italy,Powerseller,32116,205958,Outstanding,100 %,0 %,0 %,0 %,16,Piazzale Marconi 37,29121,Piacenza (PC)
magicpryce,MAGIC PRYCE,France,Professional,8628,7854,Outstanding,100 %,0 %,0 %,0 %,11,11 RUE DU CHATEAU D'EAU,60610,LACROIX SAINT OUEN
magicstoreit,Magic Store SRL,Italy,Professional,15329,265896,Outstanding,100 %,0 %,0 %,0 %,19,"Viale Gramsci , 57",47122,Forlì
MagicTED,Tobias Dieth,Germany,Professional,7159,15460,Outstanding,100 %,0 %,0 %,0 %,8,Georg-Antoni-Str. 9,36043,Fulda
magictime-it,Magic Time di Borrelli Jacopo,Italy,Powerseller,21333,218567,Outstanding,99.6 %,0.4 %,0 %,0 %,16,Via Mentana 42,48022,Lugo
Magictony216,Tony Price,United Kingdom,Professional,28990,41262,Outstanding,100 %,0 %,0 %,0 %,10,3 Brindleyford,TF3 1SW,Telford
MagicTown,MagicTown Spółka Cywilna,Poland,Professional,14210,90974,Outstanding,98.7 %,0.9 %,0.4 %,0 %,20,ul. Odyńca 59/59,02-644,Warszawa
MagicTradeHouseNo1,MagicTradeHouseNo1,Germany,Powerseller,146470,1055848,Outstanding,100 %,0 %,0 %,0 %,11,Nelkenstr.15,90547,Stein
magictuga,Marco Moreira,Portugal,Professional,65019,344059,Outstanding,99 %,0.4 %,0.6 %,0 %,12,Apartado 163,4564-909,Penafiel
MagicUnited,Magic United,Netherlands,Professional,2448,738,Outstanding,100 %,0 %,0 %,0 %,11,Ossewei 95,3238XM,Zwartewaal
magicurza,Thomas Meisel,Germany,Professional,1993,5474,Outstanding,100 %,0 %,0 %,0 %,11,Mozartstraße 3,84034,Landshut
MagicVortex,MagicVortex,Belgium,Powerseller,47794,470936,Outstanding,99.5 %,0.5 %,0 %,0 %,12,Molenstraat 26,3600,Genk
MAGICWOODS,"MAGICWOODS - ""Zauberwald""",Germany,Professional,25790,141062,Outstanding,100 %,0 %,0 %,0 %,16,Pfarrer-Cordes-Weg 16,57462,Olpe-Rhode
Magischer-Investor,Der magische Investor,Germany,Professional,3868,19700,Outstanding,100 %,0 %,0 %,0 %,11,Rheinpromenade 15,79790,Küssaberg (D)
MagoMatto,MagoMatto SRL,Italy,Powerseller,37591,336182,Outstanding,98.9 %,0.8 %,0.3 %,0 %,23,"Via Antonio Gramsci, 45",15121,Alessandria
magonerostore,magonero s.n.c. di Cilia Vincenzo e Russo Federica,Italy,Professional,442,1201,Outstanding,100 %,0 %,0 %,0 %,11,Poscolle 50/A,33100,Udine
MagusCardStore,Magus Card Store,Poland,Professional,1473,44155,Outstanding,100 %,0 %,0 %,0 %,14,Halszki 3/58,30-611,Kraków
Maher-Games,Mark Heringhaus,Germany,Powerseller,943,14103,Outstanding,100 %,0 %,0 %,0 %,13,Haßlinghauser Straße 55,45549,Sprockhövel
Main-TCG,Oliver Sieber,Germany,Professional,4760,6618,Outstanding,100 %,0 %,0 %,0 %,16,Kaiserstr. 15,97337,Dettelbach
Majestik-Games,Majeri Games,France,Professional,3657,12846,Outstanding,100 %,0 %,0 %,0 %,11,148 Avenue du Maine,75014,Paris
MALECHA,MALECHA / ONLINE RETAIL,France,Professional,122,1431,Outstanding,100 %,0 %,0 %,0 %,11,2 RUE DE LA TOUR,84000,avignon
Mana-Fortress,Mana Fortress,Slovakia,Powerseller,1451,62257,Outstanding,100 %,0 %,0 %,0 %,13,Fialková 12,90029,Nová Dedinka
ManaBase,ManaBase,Switzerland,Professional,6,4946,,100 %,0 %,0 %,0 %,5,Hasenmattstrasse 5,4059,Basel
ManaDorks,Mana Dorks,United Kingdom,Professional,1355,2335,Outstanding,100 %,0 %,0 %,0 %,14,5 Fen Lane,LN4 3AQ,Metheringham
ManaFloodStore,Mana Flood Store,Italy,Professional,449,5195,Outstanding,99 %,1 %,0 %,0 %,10,Via Palermo 12,06019,Umbertide
Managasse,Managasse,Germany,Professional,1420,69195,Outstanding,100 %,0 %,0 %,0 %,13,Bernsteinstr. 10,93152,Nittendorf
Manaito,KHIMERA,Italy,Professional,4395,12020,Outstanding,99.2 %,0.8 %,0 %,0 %,23,Vittorio Veneto 2,57025,Piombino
Manamangasas,Mana sas di Mangani Salvatore & c.,Italy,Professional,314,7046,Outstanding,100 %,0 %,0 %,0 %,23,Via G. Ferrari 9,56024,San Miniato (Pi)
ManaMarket,ManaMarket GmbH & Co KG,Austria,Professional,46865,1244484,Outstanding,98.9 %,1 %,0 %,0.1 %,15,Sauerbrunnerstraße 17,7203,Wiesen
Manamaze,Manamaze,Netherlands,Powerseller,44441,356637,Outstanding,100 %,0 %,0 %,0 %,11,Bilderdijkkade 55 III A,1053VJ,Amsterdam
ManaMecha,Mana Mecha,France,Professional,159,4692,Outstanding,100 %,0 %,0 %,0 %,12,Rue Conventionnel Salicetti,20000,Ajaccio
manaquelle,Broberg & Meyer GbR,Germany,Professional,1528,1671,Outstanding,100 %,0 %,0 %,0 %,16,Theodor-Storm-Straße 35,23795,Bad Segeberg
ManaRockGamesUK,Mana Rock Games Limited,United Kingdom,Professional,308,3850,Outstanding,100 %,0 %,0 %,0 %,14,29 Junction Way,BS16 9LA,Bristol
Manascrew,Digital Fantasy Thessaloniki / manascrew.gr,Greece,Professional,8551,260744,Outstanding,100 %,0 %,0 %,0 %,16,106 Diagora Str.,54351,Thessaloniki
ManaService,MANA SERVIS s.p.,Slovenia,Professional,173,10870,Outstanding,100 %,0 %,0 %,0 %,15,Lepa Cesta 41,6320,Portorož
ManaTemple,Mana Temple S.à r.l,Luxembourg,Professional,20626,165705,Outstanding,99.7 %,0.2 %,0.1 %,0 %,13,251 rue de Beggen.,1221,Beggen
ManaTrust,ManaTrust Trading SRL,Italy,Powerseller,130251,580037,Outstanding,99.1 %,0.5 %,0.3 %,0.1 %,23,Via Etnea 575,95125,Catania
ManaVortex-POOL4YOU,MANA VORTEX SL,Spain,Powerseller,166100,1228817,Outstanding,99.4 %,0.4 %,0.1 %,0.1 %,11,C/ Campo de Mirra 12,03005,ALICANTE
Manawebsrls,ManaWeb,Italy,Professional,14214,224728,Outstanding,99.4 %,0.4 %,0.2 %,0 %,20,Via Aldo Moro snc c/o  Top 16,01016,Tarquinia
MandragoraTCG,Mandragora TCG - Frederique Uitterhaegen,Belgium,Professional,8762,17088,Outstanding,100 %,0 %,0 %,0 %,18,Mandragorastraat 14,9620,Zottegem
Mandruas,Wesly Herpoel,Belgium,Powerseller,44946,359022,Outstanding,99.1 %,0.6 %,0.3 %,0 %,14,Brugsesteenweg 29,8800,Roeselare
MangaKoi,MANGA KOI,France,Professional,1489,24,Outstanding,100 %,0 %,0 %,0 %,11,32 rue de la krutenau,67000,Strasbourg
Mannys-Tradingcards,Manny´s Tradingcards,Germany,Professional,1699,368,Outstanding,100 %,0 %,0 %,0 %,10,Am Alten Gaswerk 5,51379,Leverkusen
manodelfrikitcg,Mano del Friki,Spain,Professional,30,1763,Good,100 %,0 %,0 %,0 %,8,Calle Elkano 5,48901,Barakaldo
manuelkant,Emanuele Cantoni,Italy,Professional,6,325,,100 %,0 %,0 %,0 %,7,Via Pietro Nenni 108 A,47025,MERCATO SARACENO (FC)
Marinaarcadiagames10,Arcadia Comics and Games di Marina di  Carrara,Italy,Professional,645,96,Outstanding,100 %,0 %,0 %,0 %,16,Via Ruga Alfio Maggiani 54,54033,Carrara
mariobertolino78,M&M S.R.L.S.,Italy,Professional,52,155,Outstanding,100 %,0 %,0 %,0 %,18,Via Palermo 87,91100,Trapani
Marius-Kartenhaus,Marius-Kartenhaus,Germany,Professional,13288,3085,Outstanding,99.4 %,0.4 %,0.2 %,0 %,13,Feldhauser Str. 408,45966,Gladbeck
Marjanne,Magus Games,Netherlands,Professional,6030,120327,Outstanding,100 %,0 %,0 %,0 %,13,Grote Straat 57,6181NT,Elsloo
Marnat1782008,Marc Geldof,Netherlands,Professional,16085,17037,Outstanding,99.1 %,0.6 %,0.3 %,0 %,27,Van Citterstraat 24,4333KW,Middelburg
MascagniTCG,Mascagni Lorenzo,Italy,Professional,10658,50238,Outstanding,100 %,0 %,0 %,0 %,14,Via Luigi Cherubini 35,50052,Certaldo (Fi)
MASQUECOMICS,"Más que Cómics, El molino, ocio y tiempo libre sl",Spain,Professional,2773,30475,Outstanding,98 %,2 %,0 %,0 %,8,Calle María Agustina Nº5 Bajo 5,30800,Lorca
master-of-themueller,themuellergames Christian M. Müller,Germany,Professional,1822,6906,Outstanding,99 %,1 %,0 %,0 %,19,Mausebrunnenweg 8,38704,Liebenburg
